bodyparts coords,toe x,toe y,toe likelihood,mtp x,mtp y,mtp likelihood,ankle x,ankle y,ankle likelihood,knee x,knee y,knee likelihood,hip x,hip y,hip likelihood,iliac crest x,iliac crest y,iliac crest likelihood
44,1897.7850915585823,625.674765712658,0.980616331100464,1876.4432278969937,611.7465707729318,0.9997425675392152,1847.9118636447736,572.9132560694029,0.999750316143036,1939.8902196047597,548.1248744966773,0.1014278903603553,1907.7748935457146,490.6233451696155,0.9999479055404664,1893.877450565866,455.5060130421495,0.99956613779068
45,1914.2241402699162,625.5695138163433,0.9999866485595704,1893.1453687007631,611.2778968516249,0.9998784065246582,1863.6642077738693,572.420950277441,0.9755269289016724,1955.7557358120548,547.8801422253835,0.4759809374809265,1923.513994057204,490.2497208219285,0.999278724193573,1909.9938306753993,455.13636518986175,0.9917646050453186
46,1930.8934833034061,625.5240215403912,0.9998992681503296,1910.0293673159736,610.9212304558876,0.9728506207466124,1879.5920806204945,572.0297735415566,0.2530347406864166,1971.7057824403478,547.6559559370687,0.7680180668830872,1939.2920321507129,489.9560485591018,0.4512323439121246,1926.1185996609643,454.8244733396204,0.7052440643310547
47,1947.7742155939818,625.5372913550835,0.9997209906578064,1927.073754604127,610.6799296177064,0.9998668432235718,1895.6925052627837,571.7421626106412,0.285307228565216,1987.7374696316172,547.4528907034597,0.8001083731651306,1955.1103388592367,489.74530827790306,0.7038823366165161,1942.2518091992279,454.57169260702875,0.9461727738380432
48,1964.841198134503,625.6074278648204,0.9999719858169556,1944.252507256592,610.554587036683,0.9999743700027466,1911.9582104354856,571.5575285615436,0.9991565942764282,2003.8455270084826,547.2712967057274,0.6039808392524719,1970.9691580209053,489.6187846560315,0.925545573234558,1958.3930116865688,454.37843051198564,0.9997774958610536
49,1982.064250761633,625.7315527157771,0.9999793767929076,1961.5362303159047,610.5429205756968,0.9999974966049194,1928.378161660671,571.4723450953231,0.999821126461029,2020.0227574445612,547.1112212436527,0.997208297252655,1986.8678443720848,489.5760247191368,0.8257380127906799,1974.5414058061185,454.2441170039168,0.9819872975349426
50,1999.4095388673195,625.9057477826208,0.9999359846115112,1978.8934626652788,610.6397667246931,0.9999772310256958,1944.9382146025432,571.4803454934317,0.9999983310699464,2036.2605511653205,546.9723349271724,0.9930711388587952,2002.8050825875196,489.61484675678605,0.929902732372284,1990.6959907533615,454.16719898176973,0.9989749193191528
51,2016.841091590493,626.1250343217331,0.999981164932251,1996.2920471130744,610.8371808190437,0.999996781349182,1961.6218608249694,571.572818815832,0.9999948740005492,2052.549436204071,546.8538666892312,0.9943339824676514,2018.779117181301,489.7313994433137,0.9956938028335572,2006.8557221314334,454.14515944020917,0.9989749193191528
52,2034.322383224665,626.3833937747413,0.9999933242797852,2013.7005040325425,611.1246428059279,0.9999983310699464,1978.4110321192907,571.7389914470554,0.9999983310699464,2068.879639982434,546.7545519852545,0.998615860939026,2034.7879826323906,489.9202682275057,0.9910981059074402,2023.0196623645948,454.17456053615547,0.9993877410888672
53,2051.8179069383996,626.6738335936734,0.9999889135360718,2031.089347656066,611.4893624100291,0.9999974966049194,1995.2869270757233,571.9664763600904,0.9999079704284668,2085.241636604399,546.6725981025296,0.9994459748268129,2050.829723031316,490.1746244745233,0.9997610449790956,2039.1871186619742,454.2511091561329,0.9993473887443542
